2024-11-29 10:30:31; com.example.neobns.logging.common.RestTemplateLoggingInterceptor; INFO; http-nio-7777-exec-4; 7902470d-e23a-4a3e-94b7-e5df776f8fe8; REST call; http://localhost:8000/transfer/ex; start; user-53dd7b2e
2024-11-29 10:30:31; com.example.neobns.logging.common.RestTemplateLoggingInterceptor; INFO; http-nio-7777-exec-4; 7902470d-e23a-4a3e-94b7-e5df776f8fe8; REST call; http://localhost:8000/transfer/ex; 103; user-53dd7b2e
2024-11-29 10:30:31; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-4; 7902470d-e23a-4a3e-94b7-e5df776f8fe8; Service; TransferService_initiateTransfer; 135
2024-11-29 10:30:31; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-4; 7902470d-e23a-4a3e-94b7-e5df776f8fe8; Controller; TransferController_transfer; 167
2024-11-29 10:31:43; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-5; 71050acd-7fac-45b2-8a72-f7c51c76c98c; Controller; TransferController_transfer; start
2024-11-29 10:31:43; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-5; 71050acd-7fac-45b2-8a72-f7c51c76c98c; Controller; TransferController_transfer; 10
2024-11-29 10:31:54; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-8; 130d5465-7b3b-4286-9631-eba77459a7f8; Controller; TransferController_transfer; start
2024-11-29 10:31:54; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-8; 130d5465-7b3b-4286-9631-eba77459a7f8; Service; TransferService_initiateTransfer; start
2024-11-29 10:31:54; com.example.neobns.logging.common.RestTemplateLoggingInterceptor; INFO; http-nio-7777-exec-8; 130d5465-7b3b-4286-9631-eba77459a7f8; REST call; http://localhost:8000/transfer/ex; start; user-1e44eb89
2024-11-29 10:31:54; com.example.neobns.logging.common.RestTemplateLoggingInterceptor; INFO; http-nio-7777-exec-8; 130d5465-7b3b-4286-9631-eba77459a7f8; REST call; http://localhost:8000/transfer/ex; 99; user-1e44eb89
2024-11-29 10:31:54; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-8; 130d5465-7b3b-4286-9631-eba77459a7f8; Service; TransferService_initiateTransfer; 117
2024-11-29 10:31:54; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-8; 130d5465-7b3b-4286-9631-eba77459a7f8; Controller; TransferController_transfer; 136
2024-11-29 10:59:10; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-7; b26600c3-2623-4f92-a79b-a6eec65417a8; Controller; TransferController_transfer; start
2024-11-29 10:59:10; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-7; b26600c3-2623-4f92-a79b-a6eec65417a8; Service; TransferService_initiateTransfer; start
2024-11-29 10:59:10; com.example.neobns.logging.common.RestTemplateLoggingInterceptor; INFO; http-nio-7777-exec-7; b26600c3-2623-4f92-a79b-a6eec65417a8; REST call; http://localhost:8000/transfer/ex; start; user-73e3f00c
2024-11-29 10:59:10; com.example.neobns.logging.common.RestTemplateLoggingInterceptor; INFO; http-nio-7777-exec-7; b26600c3-2623-4f92-a79b-a6eec65417a8; REST call; http://localhost:8000/transfer/ex; 198; user-73e3f00c
2024-11-29 10:59:10; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-7; b26600c3-2623-4f92-a79b-a6eec65417a8; Service; TransferService_initiateTransfer; 220
2024-11-29 10:59:10; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-7; b26600c3-2623-4f92-a79b-a6eec65417a8; Controller; TransferController_transfer; 245
2024-11-29 10:59:12; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-8; af73cfd7-21bf-469f-b01e-7ce7cfe482fc; Controller; QuickController_getItem; start
2024-11-29 10:59:12; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-8; af73cfd7-21bf-469f-b01e-7ce7cfe482fc; Service; QuickService_getItemById; start
2024-11-29 10:59:12; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-8; af73cfd7-21bf-469f-b01e-7ce7cfe482fc; Mapper; $Proxy168_findById; start
2024-11-29 10:59:12; com.example.neobns.logging.common.MybatisLoggingInterceptor; INFO; http-nio-7777-exec-8; af73cfd7-21bf-469f-b01e-7ce7cfe482fc; SQL; SELECT * FROM item WHERE id = ?; 5
2024-11-29 10:59:12; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-8; af73cfd7-21bf-469f-b01e-7ce7cfe482fc; Mapper; $Proxy168_findById; 40
2024-11-29 10:59:12; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-8; af73cfd7-21bf-469f-b01e-7ce7cfe482fc; Service; QuickService_getItemById; 63
2024-11-29 10:59:12; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-8; af73cfd7-21bf-469f-b01e-7ce7cfe482fc; Controller; QuickController_getItem; 85
2024-11-29 11:21:51; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-2; 4515b5e0-5810-4047-b838-3e245047388c; Controller; QuickController_getItem; start
2024-11-29 11:21:51; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-2; 4515b5e0-5810-4047-b838-3e245047388c; Service; QuickService_getItemById; start
2024-11-29 11:21:51; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-2; 4515b5e0-5810-4047-b838-3e245047388c; Mapper; $Proxy168_findById; start
2024-11-29 11:21:51; com.example.neobns.logging.common.MybatisLoggingInterceptor; INFO; http-nio-7777-exec-2; 4515b5e0-5810-4047-b838-3e245047388c; SQL; SELECT * FROM item WHERE id = ?; 1
2024-11-29 11:21:51; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-2; 4515b5e0-5810-4047-b838-3e245047388c; Mapper; $Proxy168_findById; 20
2024-11-29 11:21:51; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-2; 4515b5e0-5810-4047-b838-3e245047388c; Service; QuickService_getItemById; 37
2024-11-29 11:21:51; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-2; 4515b5e0-5810-4047-b838-3e245047388c; Controller; QuickController_getItem; 55
2024-11-29 11:21:58; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-1; b2eb09fe-d522-465b-996a-1aa49ec0cccb; Controller; QuickController_getItem; start
2024-11-29 11:21:58; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-1; b2eb09fe-d522-465b-996a-1aa49ec0cccb; Service; QuickService_getItemById; start
2024-11-29 11:21:58; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-1; b2eb09fe-d522-465b-996a-1aa49ec0cccb; Mapper; $Proxy168_findById; start
2024-11-29 11:21:58; com.example.neobns.logging.common.MybatisLoggingInterceptor; INFO; http-nio-7777-exec-1; b2eb09fe-d522-465b-996a-1aa49ec0cccb; SQL; SELECT * FROM item WHERE id = ?; 0
2024-11-29 11:21:58; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-1; b2eb09fe-d522-465b-996a-1aa49ec0cccb; Mapper; $Proxy168_findById; 20
2024-11-29 11:21:58; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-1; b2eb09fe-d522-465b-996a-1aa49ec0cccb; Service; QuickService_getItemById; 39
2024-11-29 11:21:58; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-1; b2eb09fe-d522-465b-996a-1aa49ec0cccb; Controller; QuickController_getItem; 59
2024-11-29 12:19:21; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-2; 58b0506d-25f7-4abf-be90-75f48fe1804b; Controller; QuickController_getItem; start
2024-11-29 12:19:21; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-2; 58b0506d-25f7-4abf-be90-75f48fe1804b; Service; QuickService_getItemById; start
2024-11-29 12:19:21; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-2; 58b0506d-25f7-4abf-be90-75f48fe1804b; Mapper; $Proxy168_findById; start
2024-11-29 12:19:21; com.example.neobns.logging.common.MybatisLoggingInterceptor; INFO; http-nio-7777-exec-2; 58b0506d-25f7-4abf-be90-75f48fe1804b; SQL; SELECT * FROM item WHERE id = ?; 1
2024-11-29 12:19:21; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-2; 58b0506d-25f7-4abf-be90-75f48fe1804b; Mapper; $Proxy168_findById; 22
2024-11-29 12:19:21; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-2; 58b0506d-25f7-4abf-be90-75f48fe1804b; Service; QuickService_getItemById; 40
